Question,Answer
What URL does the ECI DCA use to register?,The DCA registers using https://reg.pf-d.ca.
How does Printanista Hub license validation work?,Printanista Hub licenses are activated manually by submitting a public key through GTTechOnline; there is no automatic license validation URL.
Where do you retrieve a Printanista Hub license?,From https://www.gttechonline.com/secured/login.asp?Page=/secured/DistAcctInfo.asp? using the dealer's technical credentials.
Is the technical login for Printanista licensing the same as SQL access?,"Yes, it uses the same credentials but has read-only access inside the SQL database."
What is the Printanista to eAutomate integration method?,"Printanista creates a web service authentication token under Admin > Syncs > Settings, which is entered in eAuto under Tools > Options > Equipment > Printanista."
What versions of macOS are supported for FMAudit Java Onsite?,Supported macOS versions are Sierra (10.12) through Sequoia (15.4); newer macOS versions are unsupported.
What is the fallback method if WebSocket connections fail in Printanista DCA?,"The fallback is Long Polling, but WebSockets are preferred for real-time communications."
What server is used for Printanista DCA software updates?,The update server is https://updates.printfleetcdn.com.
What TLS versions are allowed by the ECI DCA?,TLS 1.2 is allowed; TLS 1.3 is not currently enabled.
Where is the DCA log file located?,C:\\ProgramData\\ECI DCA\\logs\\dca.log.
What encryption method is used for Printanista collected data?,Data is encrypted in transit using HTTPS and TLS 1.2.
Where can you manually upload a system license in Printanista Hub?,Under Admin > Licensing.
What service ports are required for Printanista Hub IIS?,Port 443 for HTTPS is required.
How does Remote Device Link (RDL) secure communications?,RDL uses HTTPS (TLS 1.2) to secure remote device access.
How are firmware versions captured by Printanista DCA?,Firmware versions are collected via SNMP during network scans.
What is the backup behavior for Printanista Hub databases?,Backup policies are dealer-managed; ECI recommends nightly SQL backups.
Can DCA update if a firewall blocks access to PrintFleet servers?,"No, the DCA must reach update servers or updates will fail."
What happens if a DCA license expires?,The DCA will stop transmitting data until relicensed manually.
What URL does the DCA Hub connect to after registration?,https://meters.mydoceo.com/dcahub/signalr/.
Is SMTP required for Printanista Hub operation?,SMTP is required for notifications but not for core functionality.
Can you use a self-signed certificate for Printanista Hub?,"Yes, but a trusted CA certificate is highly recommended for production environments."
What SQL versions are supported for Printanista Hub?,SQL Server 2016 or newer (recommended SQL 2019).
Does Printanista Hub support SQL Always-On availability groups?,"No, only standard SQL Server deployments are officially supported."
Is GDPR compliance addressed in Printanista Hub?,"Yes, Printanista includes data privacy compliance options aligning with GDPR standards."
What data types are collected by Printanista DCA?,"Device attributes, meters, supply levels, and some network attributes."
Does FMAudit Onsite support USB devices?,"Yes, but must be enabled in the Onsite configuration under 'Local Printer Discovery.'"
What is the SNMP fallback behavior if a device doesn't respond?,"Retry up to 2 times, then mark as offline until next scan interval."
Where are collected SNMP scan results stored temporarily?,Within the DCA local cache before being transmitted to Hub Central.
How does DCA detect sleep or offline printers?,Via periodic ping (ICMP) and SNMP reachability tests.
How does FMAudit handle SNMPv3 devices?,Currently SNMPv1 and SNMPv2c are primary; SNMPv3 requires manual credential entry if supported.
What happens if GTTechOnline is unavailable?,Licenses must be manually requested via ECI support if GTTechOnline is unreachable.
Does Printanista Hub require Internet access?,"Yes, for licensing validation, updates, and remote management."
What is the default SNMP community string used by DCA?,"'public' is the default, but can be customized."
What is the recommended Windows Server OS for Printanista Hub?,Windows Server 2016 or 2019.
